MrpDate,Org,PlnrCd,Planner,ExCd,Exception,days,Item,Description,MakeBuy,xSignal,Buyer,SupplyType,xOrder,Quantity,DueDate,FromDate,ToDate,ExtCost,StdCst,Vendor,VendNum
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,3,1117489-41,"FRAME, ADJUSTER, SLIDEBAR, IN-LINE, LT. WT. (BLACK)",buy,DCI,"Munoz, Eric",Purchase order,EM3302BP(12),75,,42349,42352,1482.66,19.77,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,26,1117492-03,"FRAME, BLACK",buy,DCI,"Munoz, Eric",Purchase order,EM3034BP(8),300,,42354,42380,2886.59,9.62,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,1117492-05,"FRAME, SATIN CHROME",buy,LOT$,"Munoz, Eric",Purchase order,EM3805,25,,42347,42374,917,36.68,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,3,1117556-100-227,LAP & SHOULDER STRAP ASS-ROTARY,make,,,Discrete job,1967428,5,,42353,42356,366.8,73.36,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,12,2000021-201-001,REEL & SHLDR HARNESS ASSY,make,,,Discrete job,1958583,2,,42349,42361,936.47,468.23,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,2000205-03,OUTER HUB,buy,DCI,"Munoz, Eric",Purchase order,EM3772BP(1),400,,42353,42380,5593.58,13.98,BILLION TECHNOLOGY LTD,14002596
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,1022,2000208-01,"SHAFT,SINGLE REEL",buy,DCI,"Munoz, Eric",Purchase order,MB21076BP(1),9,,41326,42348,125.96,14,ALL TIME MACHINE INC,14001299
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,13,2000212-01,"(F) LEVER, MANUAL LOCK",buy,DCI,"Munoz, Eric",Purchase order,EM3609BP(12),250,,42381,42394,583.15,2.33,BILLION TECHNOLOGY LTD,14002596
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,8,2000213-01,TORSION SPRING,buy,DCI,"Munoz, Eric",Purchase order,EM3119BP(35),775,,42387,42395,198.86,0.26,ARGO SPRING MFG CO,14002727
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,11,2000213-01,TORSION SPRING,buy,DCI,"Munoz, Eric",Purchase order,EM3119BP(32),150,,42349,42360,38.49,0.26,ARGO SPRING MFG CO,14002727
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,5,2000213-01,TORSION SPRING,buy,DCI,"Munoz, Eric",Purchase order,EM3119BP(34),300,,42376,42381,76.98,0.26,ARGO SPRING MFG CO,14002727
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,2000216-01,CABLE FITTING,buy,DCI,"Munoz, Eric",Purchase order,EM3112BP(16),212,,42356,42383,469.79,2.22,THUNDERBOLT MFG INC,14001913
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,2000217-01,"PIN, HARNESS",buy,DCI,"Munoz, Eric",Purchase order,EM3120BP(24),1308,,42353,42380,533.94,0.41,VESCIO THREADING CO,13063755
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,26,2000223-03,STRAPGUIDE,buy,DCI,"Munoz, Eric",Purchase order,EM3716BP(5),75,,42347,42373,208.18,2.78,TNT PLASTIC MOLDING INC,14003202
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,35,2000223-03,STRAPGUIDE,buy,DCI,"Munoz, Eric",Purchase order,EM3716BP(6),75,,42360,42395,208.18,2.78,TNT PLASTIC MOLDING INC,14003202
