ID,Order#,ShipDate,ExtPrice
837,262666,2015-02-27,5314
838,262667,2015-04-10,5314
839,262668,2015-05-15,5314
840,262669,2015-03-13,8660.48
841,262672,2015-01-27,2345.88
842,262672,2015-02-09,692.82
843,262672,2015-02-09,2078.46
844,262677,2015-02-27,0
845,262678,2015-01-28,2328
846,262680,2015-07-11,0
847,262681,2015-06-11,0
848,262681,2015-09-18,0
849,262683,2015-04-08,20440
850,262685,2015-06-11,0
851,262697,2015-02-25,19480.8
852,261674,2015-01-19,1737
853,261674,2015-01-23,1544
854,260550,2015-01-19,658
855,260550,2015-01-28,658
856,262703,2015-02-26,4435
857,262705,2015-03-26,3700
858,262718,2015-01-23,0
859,262722,2015-01-24,22323.12
860,262723,2015-01-24,22323.12
861,262729,2015-01-05,15108
862,262729,2015-03-02,20144
863,262729,2015-05-01,20144
864,262729,2015-07-31,15108
865,262729,2015-08-31,5036
866,262729,2015-01-05,33728
867,262729,2015-03-24,46376
868,262729,2015-03-27,21080
869,262729,2015-05-01,67456
870,262729,2015-07-31,67456
871,262730,2015-03-27,1348
872,262730,2015-03-27,2696
873,262730,2015-03-27,17524
874,262730,2015-04-06,2696
875,262735,2015-05-20,22490
876,262735,2015-05-20,4498
877,262736,2015-02-16,6415.02
878,262736,2015-02-25,8553.36
879,262738,2015-07-10,127.08
880,262739,2015-02-21,1468.88
881,262739,2015-02-24,734.44
882,262739,2015-02-24,734.44
883,262739,2015-01-13,1593.62
884,262746,2015-03-24,16931.13
885,262747,2015-02-25,1044.23
886,262748,2015-02-25,1044.23
887,262748,2015-02-25,837.72
888,262755,2015-02-11,44648.6
889,262756,2015-05-04,41393.76
890,262759,2015-03-27,1300
891,262761,2015-09-23,4144
892,262763,2015-02-02,990
893,262763,2015-02-23,990
894,262763,2015-03-17,990
895,262763,2015-04-06,990
896,262763,2015-04-27,990
897,262763,2015-05-19,990
898,261951,2015-01-19,2294
899,261291,2015-03-12,177
900,262543,2015-01-16,1675
901,262543,2015-02-06,1675
902,262543,2015-02-12,3350
903,262543,2015-02-12,3350
904,262773,2015-02-17,0
905,262778,2015-01-28,2455.3
